id,nome,nome_completo,ruolo,ruolo_completo,p1,p2,p3,p4,squadra,v1,v2,piede,paese,nascita,foto,m1,m2,m3
4725,Demme,Demme Diego,C,M,4,1,4,1,Napoli,8,8,destro,Germania;Italia,21/11/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DEMME.png?v=50,0,6.25,6.5
4287,Lobotka,Lobotka Stanislav,C,M;C,9,13,9,14,Napoli,28,38,ambidestro,Slovacchia,25/11/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LOBOTKA.png?v=50,0,5.93,5.93
6251,Saco,Saco Coli,C,M;C,1,1,1,1,Napoli,1,1,sinistro,Mali;Francia,15/05/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,1,0.0,0.0
4220,Zambo Anguissa,Zambo Anguissa Andrè,C,M;C,6,14,6,15,Napoli,25,31,destro,Camerun,16/11/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ANGUISSA.png?v=50,0,5.84,5.81
6252,Folorunsho,Folorunsho Michael,C,C;T,9,2,9,2,Verona,25,25,destro,Italia;Nigeria,07/02/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/FOLORUNSHO.png?v=50,0,5.88,6.10
4364,Gaetano,Gaetano Gianluca,C,C;T,6,3,6,3,Napoli,14,14,destro,Italia,05/05/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,5.83,6.25
152,Zielinski,Zielinski Piotr,C,C;T,16,20,16,20,Napoli,40,40,destro,Polonia,20/05/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZIELINSKI.png?v=50,0,6.0,6.39
4479,Elmas,Elmas Eljif,C,C;W;T,11,15,11,17,Napoli,25,30,destro,Macedonia del Nord,24/09/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ELMAS.png?v=50,1,6.0,6.56
536,Politano,Politano Matteo,C,W,25,14,24,13,Napoli,82,82,sinistro,Italia,03/08/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/POLITANO.png?v=50,0,6.32,7.28
5998,Zerbin,Zerbin Alessio,C,W,3,1,3,1,Monza,26,26,destro,Italia,03/03/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZERBIN.png?v=50,0,5.88,5.88
